Name,Nestbox,Section,Number,Longitude,Latitude,Grid Ref
Nestbox B184, B184,b,184,-1.311495968,51.7673092,SP4760907850
Nestbox B185, B185,b,185,-1.311081217,51.76790019,SP4763707916
Nestbox B186, B186,b,186,-1.31002069,51.76807379,SP4771007936
Nestbox B187, B187,b,187,-1.309428424,51.76829204,SP4775007960
Nestbox B188, B188,b,188,-1.309651304,51.76853917,SP4773507988
Nestbox B189, B189,b,189,-1.309355735,51.76891506,SP4775508030
Nestbox B190, B190,b,190,-1.308883116,51.76949672,SP4778708095
Nestbox B191, B191,b,191,-1.309512252,51.7691048,SP4774408051
Nestbox B192, B192,b,192,-1.308438024,51.76922436,SP4781808065
Nestbox B193, B193,b,193,-1.308505874,51.7685774,SP4781407993
Nestbox B194, B194,b,194,-1.307611868,51.76828442,SP4787607961
Nestbox B194a, B194a,b,194a,-1.308034561,51.76812506,SP4784707943
Nestbox B195, B195,b,195,-1.308878841,51.76787827,SP4778907915
Nestbox B196, B196,b,196,-1.309830025,51.76727246,SP4772407847
Nestbox B197, B197,b,197,-1.30959055,51.76682149,SP4774107797
Nestbox B198, B198,b,198,-1.310376975,51.76656536,SP4768707768
Nestbox B199, B199,b,199,-1.310889454,51.76621771,SP4765207729
Nestbox B2, B2,b,2,-1.308685087,51.7644335,SP4780607532
Nestbox B20, B20,b,20,-1.306611007,51.76645331,SP4794707758
Nestbox B200, B200,b,200,-1.310526938,51.76623357,SP4767707731
Nestbox B201, B201,b,201,-1.313281379,51.76711284,SP4748607827
Nestbox B203, B203,b,203,-1.310785205,51.76354671,SP4766207432
Nestbox B204, B204,b,204,-1.307002643,51.76642864,SP4792007755
Nestbox B205, B205,b,205,-1.307615337,51.76616251,SP4787807725
Nestbox B206, B206,b,206,-1.314056646,51.76567922,SP4743407667
Nestbox B207, B207,b,207,-1.312627556,51.76722591,SP4753107840
Nestbox B208, B208,b,208,-1.311862592,51.76702363,SP4758407818
Nestbox B21, B21,b,21,-1.306233309,51.76651402,SP4797307765
Nestbox B211, B211,b,211,-1.31160273,51.7660061,SP4760307705
Nestbox B212, B212,b,212,-1.312799637,51.76639073,SP4752007747
Nestbox B213, B213,b,213,-1.311550922,51.76655426,SP4760607766
Nestbox B214, B214,b,214,-1.311502941,51.76685069,SP4760907799
Nestbox B215, B215,b,215,-1.311097497,51.76683033,SP4763707797
Nestbox B216, B216,b,216,-1.310709008,51.76664823,SP4766407777
Nestbox B217, B217,b,217,-1.309426224,51.76714421,SP4775207833
Nestbox B218, B218,b,218,-1.310102216,51.76652779,SP4770607764
Nestbox B219, B219,b,219,-1.311575939,51.76490901,SP4760607583
Nestbox B22, B22,b,22,-1.306562029,51.76681267,SP4795007798
Nestbox B220, B220,b,220,-1.31304945,51.76425228,SP4750507509
Nestbox B221, B221,b,221,-1.312303923,51.76277337,SP4755807345
Nestbox B222, B222,b,222,-1.31041432,51.76316205,SP4768807389
Nestbox B223, B223,b,223,-1.310049941,51.7642527,SP4771207511
Nestbox B224, B224,b,224,-1.309432075,51.76771069,SP4775107896
Nestbox B225, B225,b,225,-1.308759213,51.76812033,SP4779707942
Nestbox B226, B226,b,226,-1.308113121,51.76867399,SP4784108004
Nestbox B227, B227,b,227,-1.30921558,51.76955262,SP4776408101
Nestbox B228, B228,b,228,-1.30698489,51.7675884,SP4792007884
Nestbox B229, B229,b,229,-1.307510247,51.76734873,SP4788407857
Nestbox B23, B23,b,23,-1.307679453,51.76765543,SP4787207891
Nestbox B24, B24,b,24,-1.307993641,51.76700991,SP4785107819
Nestbox B25, B25,b,25,-1.308042195,51.76667752,SP4784807782
Nestbox B26, B26,b,26,-1.308824096,51.76671809,SP4779407786
Nestbox B27, B27,b,27,-1.308915976,51.76639494,SP4778807750
Nestbox B28, B28,b,28,-1.309531812,51.76592203,SP4774607697
Nestbox B29, B29,b,29,-1.309891996,51.76605901,SP4772107712
Nestbox B3, B3,b,3,-1.308105798,51.76441211,SP4784607530
Nestbox B30, B30,b,30,-1.310197641,51.76597134,SP4770007702
Nestbox B31, B31,b,31,-1.310095431,51.76507117,SP4770807602
Nestbox B32, B32,b,32,-1.310615541,51.76517312,SP4767207613
Nestbox B33, B33,b,33,-1.31084027,51.76468892,SP4765707559
Nestbox B34, B34,b,34,-1.310349418,51.76456915,SP4769107546
Nestbox B35, B35,b,35,-1.310663799,51.76485872,SP4766907578
Nestbox B36, B36,b,36,-1.310396993,51.7642997,SP4768807516
Nestbox B37, B37,b,37,-1.311282331,51.76420598,SP4762707505
Nestbox B38, B38,b,38,-1.311471783,51.76413516,SP4761407497
Nestbox B39, B39,b,39,-1.311825258,51.76393124,SP4759007474
Nestbox B4, B4,b,4,-1.308113354,51.76391764,SP4784607475
Nestbox B40, B40,b,40,-1.312165532,51.76368993,SP4756607447
Nestbox B42, B42,b,42,-1.312816235,51.76338776,SP4752207413
Nestbox B43, B43,b,43,-1.312140463,51.76399521,SP4756807481
Nestbox B44, B44,b,44,-1.312682769,51.76405674,SP4753007487
Nestbox B45, B45,b,45,-1.312790011,51.76416085,SP4752307499
Nestbox B46, B46,b,46,-1.312346731,51.76472516,SP4755307562
Nestbox B47, B47,b,47,-1.312427102,51.76420369,SP4754807504
Nestbox B48, B48,b,48,-1.312032483,51.76442616,SP4757507529
Nestbox B49, B49,b,49,-1.311926141,51.76474922,SP4758207565
Nestbox B5, B5,b,5,-1.308351769,51.76348747,SP4783007427
Nestbox B51, B51,b,51,-1.310977364,51.76520222,SP4764707616
Nestbox B52, B52,b,52,-1.311567874,51.76543945,SP4760607642
Nestbox B53, B53,b,53,-1.311824037,51.76574665,SP4758807676
Nestbox B54, B54,b,54,-1.312484121,51.76522003,SP4754307617
Nestbox B55, B55,b,55,-1.31263584,51.76477135,SP4753307567
Nestbox B56, B56,b,56,-1.312953375,51.76485413,SP4751107576
Nestbox B57, B57,b,57,-1.312745885,51.76515862,SP4752507610
Nestbox B58, B58,b,58,-1.313058922,51.76553808,SP4750307652
Nestbox B59, B59,b,59,-1.313070956,51.76569999,SP4750207670
Nestbox B60, B60,b,60,-1.313732569,51.76602754,SP4745607706
Nestbox B62, B62,b,62,-1.314643991,51.7651697,SP4739407610
Nestbox B62a, B62a,b,62a,-1.314639773,51.7654484,SP4739407641
Nestbox B63, B63,b,63,-1.314502501,51.76494409,SP4740407585
Nestbox B64, B64,b,64,-1.313536353,51.76463276,SP4747107551
Nestbox B65, B65,b,65,-1.313463089,51.76468628,SP4747607557
Nestbox B66, B66,b,66,-1.313614114,51.76428255,SP4746607512
Nestbox B67, B67,b,67,-1.313619838,51.76390496,SP4746607470
Nestbox B68, B68,b,68,-1.313375435,51.76377765,SP4748307456
Nestbox B69, B69,b,69,-1.31279367,51.76296504,SP4752407366
Nestbox B7, B7,b,7,-1.308839997,51.76377806,SP4779607459
Nestbox B70, B70,b,70,-1.312446898,51.76290008,SP4754807359
Nestbox B71, B71,b,71,-1.312136218,51.76332085,SP4756907406
Nestbox B72, B72,b,72,-1.311612435,51.76346164,SP4760507422
Nestbox B75, B75,b,75,-1.309377457,51.7636913,SP4775907449
Nestbox B76, B76,b,76,-1.310518884,51.76581093,SP4767807684
Nestbox B77, B77,b,77,-1.311627745,51.76626699,SP4760107734
Nestbox B78, B78,b,78,-1.312237405,51.76619863,SP4755907726
Nestbox B79, B79,b,79,-1.313899224,51.76650504,SP4744407759
Nestbox B79a, B79a,b,79a,-1.313916029,51.76635229,SP4744307742
Nestbox B8, B8,b,8,-1.309127168,51.76395058,SP4777607478
Nestbox B80, B80,b,80,-1.31385371,51.76663965,SP4744707774
Nestbox B80a, B80a,b,80a,-1.314035676,51.76706329,SP4743407821
Nestbox B81, B81,b,81,-1.312837648,51.7667506,SP4751707787
Nestbox B84, B84,b,84,-1.311673402,51.76707647,SP4759707824
Nestbox B85, B85,b,85,-1.311071515,51.76758544,SP4763807881
Nestbox B86, B86,b,86,-1.310400718,51.76786068,SP4768407912
Nestbox B87, B87,b,87,-1.309827931,51.76836038,SP4772307968
Nestbox B88, B88,b,88,-1.31028724,51.7686508,SP4769108000
Nestbox B89, B89,b,89,-1.309057883,51.76849073,SP4777607983
Nestbox B90, B90,b,90,-1.308675503,51.76885712,SP4780208024
Nestbox B91, B91,b,91,-1.306351293,51.76637984,SP4796507750
Nestbox B92, B92,b,92,-1.306874162,51.76630201,SP4792907741
Nestbox B93, B93,b,93,-1.306676951,51.76593221,SP4794307700
Nestbox B94, B94,b,94,-1.307298628,51.76602578,SP4790007710
Nestbox B95, B95,b,95,-1.307564253,51.76571265,SP4788207675
Nestbox B96, B96,b,96,-1.30714901,51.76538652,SP4791107639
Nestbox B97, B97,b,97,-1.308095356,51.76509539,SP4784607606
Nestbox B98, B98,b,98,-1.307645637,51.7651287,SP4787707610
Nestbox B99, B99,b,99,-1.307967975,51.76489683,SP4785507584
Nestbox B99a, B99a,b,99a,-1.307768975,51.7646439,SP4786907556
Nestbox C1, C1,c,1,-1.329996387,51.75921563,SP4634006938
Nestbox C10, C10,c,10,-1.332834197,51.75639953,SP4614706623
Nestbox C101, C101,c,101,-1.330372664,51.75924475,SP4631406941
Nestbox C102, C102,c,102,-1.33032833,51.75892126,SP4631806905
